,region,1790,1800,1810,1820,1830,1840,1850
0,Maine,96540,151719,228705,298335,399455.0,501793.0,583169
1,New Hampshire,141885,183858,214460,244161,269328.0,284574.0,317976
2,Vermont,85425,154465,217895,235981,280652.0,291948.0,314120
3,Massachusetts,378787,422845,472040,523287,610408.0,737699.0,994514
4,Rhode Island,68825,69122,76931,83059,97199.0,108830.0,147545
5,Connecticut,237946,251002,261942,275248,297675.0,309978.0,370792
6,New York,340120,589051,959049,1372812,1918608.0,2428921.0,3097394
7,New Jersey,184139,211149,245562,277575,320823.0,373306.0,489555
8,Pennsylvania,434373,602365,810091,1049458,1348233.0,1724033.0,2311786
9,Ohio,,45365,230760,581434,937903.0,1519467.0,1980329
10,Indiana,,5641,24520,147178,343031.0,685866.0,988416
11,Delaware,59096,64273,72674,72749,76748.0,78085.0,91532
12,Maryland,319728,341548,380546,407350,447040.0,470019.0,583034
13,District of Co,l          NA,8144,15471,23336,30261.0,33745.0,51687
14,Virginia,691737,807557,877683,938261,1044054.0,1025227.0,1119348
15,West Virginia,55873,78592,105469,136808,176924.0,224537.0,302313
16,North Carolina,393751,478103,555500,638829,737987.0,753419.0,869039
17,South Carolina,249073,345591,415115,502741,581185.0,594398.0,668507
18,Georgia,82548,162686,252433,340989,516823.0,691392.0,906185
21,Kentucky,73677,220955,406511,564317,687917.0,779828.0,982405
22,Tennessee,35691,105602,261727,422823,681904.0,829210.0,1002717
23,Alabama,,1250,9046,127901,309527.0,590756.0,771623
24,Mississippi,,7600,31306,75448,136621.0,375651.0,606526
25,Table 1 . U,nited States Re,sident Populat,ion by State,: 1860 - 19,20.0,,(cont.)
26,,1860,1870,1880,1890,1900.0,1910.0,1920
27,UNITED STATES,31443321,38558371,50189209,62979766,76212168.0,92228496.0,106021537
28,Maine,628279,626915,648936,661086,694466.0,742371.0,768014
29,New Hampshire,326073,318300,346991,376530,411588.0,430572.0,443083
30,Vermont,315098,330551,332286,332422,343641.0,355956.0,352428
31,Massachusetts,1231066,1457351,1783085,2238947,2805346.0,3366416.0,3852356
32,Rhode Island,174620,217353,276531,345506,428556.0,542610.0,604397
33,Connecticut,460147,537454,622700,746258,908420.0,1114756.0,1380631
34,New York,3880735,4382759,5082871,6003174,7268894.0,9113614.0,10385227
35,New Jersey,672035,906096,1131116,1444933,1883669.0,2537167.0,3155900
36,Pennsylvania,2906215,3521951,4282891,5258113,6302115.0,7665111.0,8720017
37,Ohio,2339511,2665260,3198062,3672329,4157545.0,4767121.0,5759394
38,Indiana,1350428,1680637,1978301,2192404,2516462.0,2700876.0,2930390
39,Illinois,1711951,2539891,3077871,3826352,4821550.0,5638591.0,6485280
40,Michigan,749113,1184059,1636937,2093890,2420982.0,2810173.0,3668412
41,Wisconsin,775881,1054670,1315497,1693330,2069042.0,2333860.0,2632067
42,Minnesota,172023,439706,780773,1310283,1751394.0,2075708.0,2387125
43,Iowa,674913,1194020,1624615,1912297,2231853.0,2224771.0,2404021
44,Missouri,1182012,1721295,2168380,2679185,3106665.0,3293335.0,3404055
45,North Dakota,,2405,36909,190983,319146.0,577056.0,646872
46,South Dakota,4837,11776,98268,348600,401570.0,583888.0,636547
47,Nebraska,28841,122993,452402,1062656,1066300.0,1192214.0,1296372
48,Kansas,107206,364399,996096,1428108,1470495.0,1690949.0,1769257
49,Delaware,112216,125015,146608,168493,184735.0,202322.0,223003
50,Maryland,687049,780894,934943,1042390,1188044.0,1295346.0,1449661
51,District of Co,"l      75,080",131700,177624,230392,278718.0,331069.0,437571
52,Virginia,1219630,1225163,1512565,1655980,1854184.0,2061612.0,2309187
53,West Virginia,376688,442014,618457,762794,958800.0,1221119.0,1463701
54,North Carolina,992622,1071361,1399750,1617949,1893810.0,2206287.0,2559123
55,South Carolina,703708,705606,995577,1151149,1340316.0,1515400.0,1683724
56,Georgia,1057286,1184109,1542180,1837353,2216331.0,2609121.0,2895832
57,Florida,140424,187748,269493,391422,528542.0,752619.0,968470
58,Table 1 . U,nited States Re,sident Populat,ion by State,: 1860 - 19,20.0,,(cont.)
59,,1860,1870,1880,1890,1900.0,1910.0,1920
60,Kentucky,1155684,1321011,1648690,1858635,2147174.0,2289905.0,2416630
61,Tennessee,1109801,1258520,1542359,1767518,2020616.0,2184789.0,2337885
62,Alabama,964201,996992,1262505,1513401,1828697.0,2138093.0,2348174
63,Mississippi,791305,827922,1131597,1289600,1551270.0,1797114.0,1790618
64,Arkansas,435450,484471,802525,1128211,1311564.0,1574449.0,1752204
65,Louisiana,708002,726915,939946,1118588,1381625.0,1656388.0,1798509
66,Texas,604215,818579,1591749,2235527,3048710.0,3896542.0,4663228
67,Montana,,20595,39159,142924,243329.0,376053.0,548889
68,Idaho,,14999,32610,88548,161772.0,325594.0,431866
69,Wyoming,,9118,20789,62555,92531.0,145965.0,194402
70,Colorado,34277,39864,194327,413249,539700.0,799024.0,939629
71,New Mexico,93516,91874,119565,160282,195310.0,327301.0,360350
72,Arizona,,9658,40440,88243,122931.0,204354.0,334162
73,Utah,40273,86786,143963,210779,276749.0,373351.0,449396
74,Nevada,6857,42491,62266,47355,42355.0,81875.0,77407
75,Washington,11594,23955,75116,357232,518103.0,1141990.0,1356621
76,Oregon,52465,90923,174768,317704,413536.0,672765.0,783389
77,California,379994,560247,864694,1213398,1485053.0,2377549.0,3426861
78,Table 1 . U,nited States Re,sident Populat,ion by State,: 1930 - 19,90.0,,(cont.)
79,,1930,1940,1950,1960,1970.0,1980.0,1990
80,UNITED STATES,123202624,"132,164,569  1",51325798,179323175,203302031.0,226545805.0,248709873
81,Maine,797423,847226,913774,969265,993722.0,1124660.0,1227928
